school,rating,id,conference,level,rd,volatility
UAlbany,1000.0,560662,Am. East,mid-major,600.0,0.06
UC Davis,1000.0,560813,Big West,mid-major,600.0,0.06
UC Irvine,1000.0,560815,Big West,mid-major,600.0,0.06
UC Riverside,1000.0,560819,Big West,mid-major,600.0,0.06
UC San Diego,1000.0,561100,Big West,mid-major,600.0,0.06
UC Santa Barbara,1000.0,560727,Big West,mid-major,600.0,0.06
UCF,1500.0,560826,Big 12,power,600.0,0.06
UCLA,1500.0,560817,Pac 12,power,600.0,0.06
UConn,1500.0,560851,Big East,power,600.0,0.06
UIC,1000.0,560956,MVC,mid-major,600.0,0.06
UIW,1000.0,560631,Southland,mid-major,600.0,0.06
ULM,1000.0,560985,Sunbelt,mid-major,600.0,0.06
UMBC,1000.0,560746,Am. East,mid-major,600.0,0.06
UMES,1000.0,560750,MEAC,mid-major,600.0,0.06
UMass Lowell,1000.0,560606,Am. East,mid-major,600.0,0.06
UNC Asheville,1000.0,560795,Big South,mid-major,600.0,0.06
UNC Greensboro,1000.0,560800,Southern,mid-major,600.0,0.06
UNCW,1000.0,560802,CAA,mid-major,600.0,0.06
UNI,1000.0,560995,MVC,mid-major,600.0,0.06
UNLV,1000.0,560808,MWC,mid-major,600.0,0.06
USC Upstate,1000.0,560633,Big South,mid-major,600.0,0.06
UT Arlington,1000.0,561178,WAC,mid-major,600.0,0.06
UT Martin,1000.0,561168,OVC,mid-major,600.0,0.06
UTEP,1000.0,561182,C-USA,mid-major,600.0,0.06
UTRGV,1000.0,561026,WAC,mid-major,600.0,0.06
UTSA,1500.0,561184,AAC,power,600.0,0.06
Utah,1500.0,561204,Pac 12,power,600.0,0.06
Utah St.,1000.0,561202,MWC,mid-major,600.0,0.06
Utah Tech,1000.0,561102,WAC,mid-major,600.0,0.06
Utah Valley,1000.0,560646,WAC,mid-major,600.0,0.06
VCU,1000.0,561214,A-10,mid-major,600.0,0.06
VMI,1000.0,561216,Southern,mid-major,600.0,0.06
Valparaiso,1000.0,561206,MVC,mid-major,600.0,0.06
Vanderbilt,1500.0,561208,SEC,power,600.0,0.06
Vermont,1000.0,561210,Am. East,mid-major,600.0,0.06
Villanova,1500.0,561212,Big East,power,600.0,0.06
Virginia,1500.0,561220,ACC,power,600.0,0.06
Virginia Tech,1500.0,561218,ACC,power,600.0,0.06
Wagner,1000.0,561222,NEC,mid-major,600.0,0.06
Wake Forest,1500.0,561224,ACC,power,600.0,0.06
Washington,1500.0,561228,Pac 12,power,600.0,0.06
Washington St.,1500.0,561226,Pac 12,power,600.0,0.06
Weber St.,1000.0,561230,Big Sky,mid-major,600.0,0.06
West Virginia,1500.0,561232,Big 12,power,600.0,0.06
Western Caro.,1000.0,561235,Southern,mid-major,600.0,0.06
Western Ill.,1000.0,561238,OVC,mid-major,600.0,0.06
Western Ky.,1000.0,561239,C-USA,mid-major,600.0,0.06
Western Mich.,1000.0,561241,MAC,mid-major,600.0,0.06
Wichita St.,1500.0,561243,AAC,power,600.0,0.06
William & Mary,1000.0,561245,CAA,mid-major,600.0,0.06
Winthrop,1000.0,561247,Big South,mid-major,600.0,0.06
Wisconsin,1500.0,561251,Big 10,power,600.0,0.06
Wofford,1000.0,560632,Southern,mid-major,600.0,0.06
Wright St.,1000.0,561255,Horizon,mid-major,600.0,0.06
Wyoming,1000.0,561258,MWC,mid-major,600.0,0.06
Xavier,1500.0,561259,Big East,power,600.0,0.06
Yale,1000.0,561262,Ivy,mid-major,600.0,0.06
Youngstown St.,1000.0,561264,Horizon,mid-major,600.0,0.06
