school,id,conference,level,rating,rd,volatility,wins,losses
UNC Greensboro,560800.0,Southern,mid-major,1354.44,71.1959,0.0600755,14,5
UNCW,560802.0,CAA,mid-major,1369.4,69.2119,0.0602858,13,5
UNI,560995.0,MVC,mid-major,1378.5,66.6335,0.0599517,11,8
UNLV,560808.0,MWC,mid-major,1476.52,70.2603,0.060662,9,8
USC Upstate,560633.0,Big South,mid-major,822.756,74.3948,0.0602467,6,12
UT Arlington,561178.0,WAC,mid-major,1131.6,69.1886,0.059942,9,10
UT Martin,561168.0,OVC,mid-major,967.185,68.4904,0.0598484,10,9
UTEP,561182.0,C-USA,mid-major,1137.58,65.4671,0.0602884,11,8
UTRGV,561026.0,WAC,mid-major,910.387,70.4951,0.0600845,6,13
UTSA,561184.0,AAC,power,889.183,70.2711,0.0602051,7,12
Utah,561204.0,Pac 12,power,1671.97,68.7296,0.0599772,14,5
Utah St.,561202.0,MWC,mid-major,1790.91,80.4481,0.0599828,17,2
Utah Tech,561102.0,WAC,mid-major,1019.11,67.0688,0.0602078,7,11
Utah Valley,560646.0,WAC,mid-major,1146.8,67.2421,0.0600579,9,10
VCU,561214.0,A-10,mid-major,1416.33,67.5127,0.0600568,11,7
VMI,561216.0,Southern,mid-major,547.157,90.7886,0.0599547,4,15
Valparaiso,561206.0,MVC,mid-major,956.34,69.1795,0.0603327,6,13
Vanderbilt,561208.0,SEC,power,1054.49,82.6288,0.0600295,5,13
Vermont,561210.0,Am. East,mid-major,1330.55,72.0827,0.0600239,14,5
Villanova,561212.0,Big East,power,1575.58,69.7716,0.060908,11,7
Virginia,561220.0,ACC,power,1617.8,68.8531,0.0600158,13,5
Virginia Tech,561218.0,ACC,power,1581.63,66.5898,0.06001,11,7
Wagner,561222.0,NEC,mid-major,879.612,69.7178,0.060105,9,8
Wake Forest,561224.0,ACC,power,1650.43,67.5755,0.0599215,13,5
Washington,561228.0,Pac 12,power,1479.2,65.4253,0.0598449,11,8
Washington St.,561226.0,Pac 12,power,1545.57,67.7526,0.0600513,13,6
Weber St.,561230.0,Big Sky,mid-major,1201.91,67.9843,0.0606439,12,7
West Virginia,561232.0,Big 12,power,1358.91,69.4597,0.0602827,7,11
Western Caro.,561235.0,Southern,mid-major,1351.13,73.6288,0.0601206,15,4
Western Ill.,561238.0,OVC,mid-major,1044.48,70.0296,0.0600801,12,7
Western Ky.,561239.0,C-USA,mid-major,1198.81,65.0824,0.0601109,13,6
Western Mich.,561241.0,MAC,mid-major,996.147,66.7612,0.0597573,7,11
Wichita St.,561243.0,AAC,power,1226.88,67.4324,0.060039,8,10
William & Mary,561245.0,CAA,mid-major,730.221,68.9574,0.0598907,7,12
Winthrop,561247.0,Big South,mid-major,1184.29,71.9975,0.0596507,13,8
Wisconsin,561251.0,Big 10,power,1808.29,69.7436,0.0600358,14,4
Wofford,560632.0,Southern,mid-major,1142.45,68.7479,0.0598685,11,8
Wright St.,561255.0,Horizon,mid-major,1103.42,64.8517,0.0598736,10,10
Wyoming,561258.0,MWC,mid-major,1308.22,69.1172,0.060293,10,8
Xavier,561259.0,Big East,power,1556.24,67.2889,0.060357,10,8
Yale,561262.0,Ivy,mid-major,1307.63,69.7568,0.0599634,12,6
Youngstown St.,561264.0,Horizon,mid-major,1217.12,70.3897,0.0596841,14,6
